user_id,group,day,completed
1,control,2,0
2,treatment,8,1
3,treatment,14,0
4,control,9,0
5,control,1,1
6,control,6,0
7,control,6,0
8,treatment,7,0
9,treatment,6,0
10,treatment,14,1
11,control,1,0
12,treatment,6,0
13,treatment,4,0
14,control,1,0
15,control,10,0
16,control,6,0
17,control,14,0
18,control,3,0
19,control,4,0
20,control,8,0
21,treatment,8,0
22,control,12,0
23,control,3,0
24,control,12,0
25,control,11,0
26,treatment,4,0
27,control,3,0
28,control,8,0
29,control,3,0
30,control,10,0
31,treatment,3,0
32,control,14,0
33,control,6,0
34,treatment,3,0
35,treatment,5,1
36,treatment,4,1
37,control,14,0
38,control,12,0
39,treatment,1,0
40,control,11,1
41,control,11,0
42,control,7,0
43,control,12,1
44,treatment,6,0
45,control,1,0
46,treatment,10,0
47,control,11,0
48,control,13,0
49,control,4,1
50,control,9,0
51,treatment,7,0
52,treatment,3,0
53,treatment,7,0
54,treatment,14,0
55,control,1,0
56,treatment,5,0
57,control,1,0
58,control,4,0
59,control,2,0
60,control,10,0
61,control,2,0
62,control,6,0
63,treatment,14,0
64,control,8,0
65,control,9,0
66,control,6,0
67,control,3,0
68,treatment,3,1
69,control,3,0
70,treatment,13,0
71,treatment,3,0
72,control,12,0
73,control,9,0
74,treatment,4,1
75,treatment,7,0
76,treatment,2,0
77,treatment,7,0
78,control,7,0
79,control,4,0
80,control,4,0
81,treatment,12,0
82,treatment,5,0
83,control,1,0
84,control,6,0
85,control,7,0
86,control,11,0
87,treatment,4,0
88,treatment,8,0
89,treatment,7,0
90,control,14,0
91,control,10,0
92,treatment,14,0
93,treatment,1,0
94,control,9,0
95,treatment,12,0
96,control,14,1
97,control,9,0
98,control,1,0
99,control,8,0
100,control,14,1
101,control,1,0
102,treatment,8,0
103,control,1,0
104,control,10,0
105,treatment,10,0
106,control,2,0
107,control,3,0
108,treatment,10,0
109,control,11,0
110,control,4,0
111,control,1,0
112,control,8,0
113,treatment,7,0
114,treatment,2,0
115,treatment,12,0
116,treatment,9,0
117,treatment,4,0
118,control,6,0
119,treatment,13,0
120,control,9,0
121,treatment,1,0
122,treatment,3,0
123,control,6,0
124,control,7,0
125,control,14,0
126,control,9,0
127,treatment,4,0
128,treatment,7,0
129,control,7,1
130,control,13,0
131,control,8,0
132,control,5,1
133,control,10,0
134,control,10,0
135,treatment,12,1
136,control,2,0
137,control,13,0
138,treatment,13,0
139,control,3,0
140,treatment,1,0
141,treatment,7,0
142,control,7,0
143,control,1,1
144,control,10,0
145,control,8,0
146,control,4,0
147,treatment,8,0
148,control,9,0
149,control,14,0
150,control,1,0
151,treatment,8,0
152,control,13,0
153,control,2,0
154,control,4,0
155,treatment,11,0
156,control,4,0
157,treatment,2,1
158,treatment,12,0
159,control,14,0
160,treatment,1,0
161,control,14,0
162,treatment,12,0
163,treatment,2,0
164,control,4,0
165,control,2,0
166,treatment,7,0
167,control,1,0
168,control,13,0
169,control,4,0
170,control,8,0
171,treatment,8,0
172,control,14,0
173,control,1,0
174,control,5,0
175,treatment,9,0
176,control,13,1
177,treatment,5,0
178,control,11,0
179,treatment,5,0
180,control,6,0
181,control,8,0
182,control,7,0
183,treatment,13,0
184,treatment,14,0
185,control,7,0
186,treatment,7,0
187,treatment,1,0
188,control,2,0
189,control,5,0
190,control,5,0
191,control,10,0
192,treatment,13,1
193,treatment,4,1
194,treatment,8,0
195,control,8,0
196,control,12,0
197,treatment,8,0
198,treatment,9,0
199,treatment,14,0
200,treatment,11,0
201,treatment,7,0
202,control,12,0
203,control,12,0
204,treatment,7,0
205,treatment,13,1
206,control,13,0
207,control,8,0
208,treatment,4,0
209,control,12,1
210,control,14,0
211,control,13,0
212,treatment,8,0
213,treatment,2,1
214,control,4,0
215,treatment,11,0
216,control,10,0
217,control,11,0
218,treatment,11,1
219,treatment,1,0
220,treatment,5,0
221,treatment,11,0
222,control,7,0
223,control,12,0
224,control,4,0
225,control,2,0
226,control,4,0
227,treatment,12,0
228,control,6,0
229,treatment,9,0
230,treatment,11,0
231,treatment,5,0
232,control,10,0
233,control,9,0
234,control,3,1
235,control,3,0
236,treatment,4,0
237,control,7,0
238,control,12,0
239,treatment,7,0
240,control,2,0
241,treatment,13,0
242,treatment,12,0
243,treatment,13,0
244,control,4,0
245,control,13,0
246,treatment,8,0
247,control,4,0
248,treatment,8,0
249,treatment,6,0
250,treatment,12,0
251,control,14,0
252,control,12,0
253,treatment,12,0
254,control,5,0
255,control,9,0
256,control,2,0
257,treatment,8,0
258,treatment,9,1
259,control,8,0
260,control,5,0
261,treatment,8,0
262,treatment,2,0
263,control,12,0
264,control,9,0
265,treatment,2,0
266,treatment,1,1
267,treatment,5,0
268,treatment,7,0
269,control,10,0
270,control,4,0
271,treatment,3,0
272,treatment,12,0
273,treatment,11,0
274,treatment,4,0
275,control,13,0
276,control,2,0
277,treatment,1,0
278,treatment,6,0
279,treatment,12,0
280,treatment,3,0
281,treatment,10,0
282,control,6,0
283,control,1,1
284,control,11,0
285,control,11,0
286,control,6,0
287,control,2,1
288,control,7,0
289,control,5,0
290,control,13,0
291,control,13,0
292,control,6,0
293,treatment,10,0
294,control,3,0
295,control,7,0
296,control,10,1
297,treatment,5,0
298,control,7,0
299,treatment,4,1
300,control,2,0
301,control,4,0
302,control,13,0
303,control,10,0
304,treatment,2,0
305,treatment,4,0
306,treatment,1,0
307,control,7,0
308,control,12,0
309,treatment,13,0
310,control,4,0
311,control,6,1
312,control,9,0
313,control,5,0
314,treatment,14,0
315,treatment,2,0
316,treatment,2,0
317,control,9,0
318,control,14,0
319,control,5,0
320,control,8,0
321,control,5,0
322,treatment,2,0
323,treatment,4,0
324,control,4,0
325,treatment,7,1
326,treatment,5,0
327,control,9,0
328,treatment,1,1
329,control,7,0
330,control,8,0
331,control,14,0
332,treatment,8,0
333,control,10,0
334,control,7,0
335,control,11,0
336,control,14,0
337,treatment,8,0
338,treatment,1,0
339,control,7,0
340,control,6,0
341,control,11,1
342,control,12,0
343,control,2,0
344,control,4,1
345,control,8,0
346,treatment,1,0
347,treatment,12,0
348,control,5,0
349,control,4,0
350,treatment,11,0
351,control,3,0
352,treatment,12,0
353,treatment,1,0
354,control,11,1
355,control,6,0
356,treatment,2,1
357,control,5,0
358,control,9,0
359,treatment,10,0
360,control,1,0
361,control,7,0
362,treatment,3,0
363,control,1,0
364,control,7,0
365,treatment,10,0
366,control,7,0
367,treatment,14,0
368,treatment,6,0
369,control,9,0
370,control,14,0
371,control,11,0
372,control,12,0
373,control,2,0
374,treatment,6,0
375,control,12,0
376,control,11,0
377,treatment,2,0
378,control,12,0
379,treatment,2,0
380,control,7,0
381,control,13,0
382,treatment,12,0
383,treatment,4,0
384,treatment,8,0
385,treatment,13,0
386,treatment,11,0
387,control,5,0
388,control,7,0
389,treatment,2,0
390,treatment,10,0
391,treatment,2,0
392,control,3,0
393,control,5,0
394,treatment,8,0
395,control,9,0
396,treatment,12,1
397,treatment,8,0
398,control,13,0
399,treatment,2,0
400,treatment,5,0
401,control,13,0
402,treatment,3,0
403,control,4,0
404,treatment,3,0
405,control,14,1
406,treatment,3,0
407,control,2,0
408,control,3,0
409,treatment,12,0
410,control,10,0
411,control,11,0
412,treatment,8,0
413,treatment,8,0
414,control,10,0
415,treatment,5,0
416,control,12,0
417,control,9,0
418,control,1,0
419,treatment,1,0
420,treatment,13,1
421,treatment,7,0
422,treatment,3,0
423,control,14,0
424,control,7,0
425,control,5,0
426,control,1,0
427,control,11,0
428,treatment,5,0
429,control,11,0
430,control,1,0
431,control,12,0
432,treatment,1,0
433,treatment,6,0
434,control,1,0
435,control,10,1
436,treatment,6,0
437,control,3,0
438,treatment,7,0
439,treatment,2,0
440,control,7,0
441,control,5,0
442,treatment,13,0
443,control,1,0
444,control,7,0
445,treatment,14,0
446,treatment,10,1
447,treatment,7,0
448,treatment,10,0
449,control,4,0
450,control,12,0
451,treatment,9,0
452,control,7,0
453,control,8,0
454,treatment,14,1
455,control,6,0
456,control,5,0
457,control,12,0
458,control,10,0
459,control,2,0
460,control,1,0
461,control,7,0
462,treatment,3,0
463,treatment,3,0
464,control,13,0
465,treatment,6,0
466,control,14,0
467,control,9,0
468,treatment,12,0
469,control,13,1
470,treatment,4,0
471,control,6,0
472,treatment,9,0
473,control,5,0
474,treatment,6,0
475,control,6,0
476,treatment,7,0
477,control,5,0
478,control,4,0
479,treatment,8,0
480,control,11,1
481,treatment,8,0
482,treatment,11,0
483,control,4,0
484,treatment,10,0
